"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"60","Per_EA_Ro_09_R2.fastq.gz",194813,193224,193224,193223,193223,0.991838327011031
"61","Per_EA_Ro_10_R1.fastq.gz",216074,213471,213471,213470,213470,0.987948573174005
"62","Per_EA_Ro_10_R2.fastq.gz",216074,213471,213471,213470,213470,0.987948573174005
"63","Per_EA_So_01_R1.fastq.gz",240924,239715,239715,239715,239715,0.994981819993027
"64","Per_EA_So_01_R2.fastq.gz",240924,239715,239715,239715,239715,0.994981819993027
"65","Per_EA_So_02_R1.fastq.gz",240448,238447,238447,238447,238446,0.991673875432526
"66","Per_EA_So_02_R2.fastq.gz",240448,238447,238447,238447,238446,0.991673875432526
"67","Per_EA_So_03_R1.fastq.gz",239657,237391,237391,237391,237391,0.990544820305687
"68","Per_EA_So_03_R2.fastq.gz",239657,237391,237391,237391,237391,0.990544820305687
"69","Per_EA_So_04_R1.fastq.gz",236438,235129,235129,235129,235129,0.994463664893122
"70","Per_EA_So_04_R2.fastq.gz",236438,235129,235129,235129,235129,0.994463664893122
"71","Per_EA_So_05_R1.fastq.gz",258594,255302,255302,255302,255302,0.987269619558072
"72","Per_EA_So_05_R2.fastq.gz",258594,255302,255302,255302,255302,0.987269619558072
"73","Per_EA_So_06_R1.fastq.gz",323065,319959,319959,319959,319959,0.990385835667745
"74","Per_EA_So_06_R2.fastq.gz",323065,319959,319959,319959,319959,0.990385835667745
"75","Per_EA_So_07_R1.fastq.gz",260382,259437,259437,259437,259437,0.99637071686983
"76","Per_EA_So_07_R2.fastq.gz",260382,259437,259437,259437,259437,0.99637071686983
"77","Per_EA_So_08_R1.fastq.gz",237557,235213,235213,235212,235212,0.990128684905096
"78","Per_EA_So_08_R2.fastq.gz",237557,235213,235213,235212,235212,0.990128684905096
"79","Per_EA_So_09_R1.fastq.gz",149050,147375,147375,147375,147375,0.988762160348876
"80","Per_EA_So_09_R2.fastq.gz",149050,147375,147375,147375,147375,0.988762160348876
"81","Per_EA_So_10_R1.fastq.gz",171650,169687,169687,169681,169681,0.988528983396446
"82","Per_EA_So_10_R2.fastq.gz",171650,169687,169687,169681,169681,0.988528983396446
"83","Sem_EA_Ro_07_R1.fastq.gz",213088,210828,210828,210828,210828,0.989394053161135
"84","Sem_EA_Ro_07_R2.fastq.gz",213088,210828,210828,210828,210828,0.989394053161135
"85","Sem_EA_Ro_08_R1.fastq.gz",262182,259424,259424,259424,259424,0.989480589819286
"86","Sem_EA_Ro_08_R2.fastq.gz",262182,259424,259424,259424,259424,0.989480589819286
"87","Sem_EA_Ro_09_R1.fastq.gz",335544,330109,330109,330109,330109,0.983802422335074
"88","Sem_EA_Ro_09_R2.fastq.gz",335544,330109,330109,330109,330109,0.983802422335074
"89","Sem_EA_Ro_10_R1.fastq.gz",179486,178629,178629,178629,178629,0.995225254337386
"90","Sem_EA_Ro_10_R2.fastq.gz",179486,178629,178629,178629,178629,0.995225254337386
"91","Sem_EA_So_01_R1.fastq.gz",337572,335976,335976,335975,335975,0.995269157394571
"92","Sem_EA_So_01_R2.fastq.gz",337572,335976,335976,335975,335975,0.995269157394571
"93","Sem_EA_So_02_R1.fastq.gz",388575,384441,384441,384440,384440,0.989358553689764
"94","Sem_EA_So_02_R2.fastq.gz",388575,384441,384441,384440,384440,0.989358553689764
"95","Sem_EA_So_03_R1.fastq.gz",440060,436002,436002,436002,436002,0.990778530200427
"96","Sem_EA_So_03_R2.fastq.gz",440060,436002,436002,436002,436002,0.990778530200427
"97","Sem_EA_So_04_R1.fastq.gz",571867,568030,568030,568028,568028,0.993286900625495
"98","Sem_EA_So_04_R2.fastq.gz",571867,568030,568030,568028,568028,0.993286900625495
"99","Sem_EA_So_05_R1.fastq.gz",285359,283018,283018,283018,283018,0.99179629869743
"100","Sem_EA_So_05_R2.fastq.gz",285359,283018,283018,283018,283018,0.99179629869743
"101","Sem_EA_So_06_R1.fastq.gz",329457,327722,327722,327722,327722,0.994733758882039
"102","Sem_EA_So_06_R2.fastq.gz",329457,327722,327722,327722,327722,0.994733758882039
"103","Sem_EA_So_07_R1.fastq.gz",312743,311301,311301,311300,311300,0.995385987855843
"104","Sem_EA_So_07_R2.fastq.gz",312743,311301,311301,311300,311300,0.995385987855843
"105","Sem_EA_So_08_R1.fastq.gz",255849,253254,253254,253253,253253,0.989853390085558
"106","Sem_EA_So_08_R2.fastq.gz",255849,253254,253254,253253,253253,0.989853390085558
"107","Sem_EA_So_09_R1.fastq.gz",262136,260824,260824,260824,260824,0.994994964445936
"108","Sem_EA_So_09_R2.fastq.gz",262136,260824,260824,260824,260824,0.994994964445936
"109","Sem_EA_So_10_R1.fastq.gz",237252,234684,234684,234684,234684,0.989176065955187
"110","Sem_EA_So_10_R2.fastq.gz",237252,234684,234684,234684,234684,0.989176065955187
