"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"1","BLANK_07_R1.fastq.gz",28235,27926,27926,27441,27441,0.971878873738268
"2","BLANK_07_R2.fastq.gz",28235,27926,27926,27441,27441,0.971878873738268
"3","Per_EA_Le_01_R1.fastq.gz",277940,274224,274224,274224,274224,0.986630207958552
"4","Per_EA_Le_01_R2.fastq.gz",277940,274224,274224,274224,274224,0.986630207958552
"5","Per_EA_Le_02_R1.fastq.gz",229017,225235,225235,225235,225235,0.983485942091635
"6","Per_EA_Le_02_R2.fastq.gz",229017,225235,225235,225235,225235,0.983485942091635
"7","Per_EA_Le_03_R1.fastq.gz",146816,145012,145012,145012,145012,0.987712510897995
"8","Per_EA_Le_03_R2.fastq.gz",146816,145012,145012,145012,145012,0.987712510897995
"9","Per_EA_Le_04_R1.fastq.gz",180446,177122,177122,177122,177122,0.981578976535917
"10","Per_EA_Le_04_R2.fastq.gz",180446,177122,177122,177122,177122,0.981578976535917
"11","Per_EA_Le_05_R1.fastq.gz",159373,158569,158569,158566,158566,0.994936407045108
"12","Per_EA_Le_05_R2.fastq.gz",159373,158569,158569,158566,158566,0.994936407045108
"13","Per_EA_Le_06_R1.fastq.gz",167773,165866,165866,165866,165866,0.988633451151258
"14","Per_EA_Le_06_R2.fastq.gz",167773,165866,165866,165866,165866,0.988633451151258
"15","Per_EA_Le_07_R1.fastq.gz",202397,199331,199331,199331,199331,0.984851554123826
"16","Per_EA_Le_07_R2.fastq.gz",202397,199331,199331,199331,199331,0.984851554123826
"17","Per_EA_Le_08_R1.fastq.gz",216588,213296,213296,213296,213296,0.984800635307589
"18","Per_EA_Le_08_R2.fastq.gz",216588,213296,213296,213296,213296,0.984800635307589
"19","Per_EA_Le_09_R1.fastq.gz",164427,161886,161886,161883,161883,0.984528088452626
"20","Per_EA_Le_09_R2.fastq.gz",164427,161886,161886,161883,161883,0.984528088452626
"21","Per_EA_Le_10_R1.fastq.gz",217007,215604,215604,215604,215604,0.993534770767763
"22","Per_EA_Le_10_R2.fastq.gz",217007,215604,215604,215604,215604,0.993534770767763
"23","Per_EA_Rh_01_R1.fastq.gz",216199,213166,213166,213166,213166,0.985971257961415
"24","Per_EA_Rh_01_R2.fastq.gz",216199,213166,213166,213166,213166,0.985971257961415
"25","Per_EA_Rh_02_R1.fastq.gz",218788,216263,216263,216263,216263,0.988459147668062
"26","Per_EA_Rh_02_R2.fastq.gz",218788,216263,216263,216263,216263,0.988459147668062
"27","Per_EA_Rh_03_R1.fastq.gz",194462,192183,192183,192175,192175,0.988239347533194
"28","Per_EA_Rh_03_R2.fastq.gz",194462,192183,192183,192175,192175,0.988239347533194
"29","Per_EA_Rh_04_R1.fastq.gz",209697,208441,208441,208440,208440,0.994005636704388
"30","Per_EA_Rh_04_R2.fastq.gz",209697,208441,208441,208440,208440,0.994005636704388
"31","Per_EA_Rh_05_R1.fastq.gz",204108,202614,202614,202600,202600,0.992611754561311
"32","Per_EA_Rh_05_R2.fastq.gz",204108,202614,202614,202600,202600,0.992611754561311
"33","Per_EA_Rh_06_R1.fastq.gz",204750,203677,203677,203675,203675,0.994749694749695
"34","Per_EA_Rh_06_R2.fastq.gz",204750,203677,203677,203675,203675,0.994749694749695
"35","Per_EA_Rh_07_R1.fastq.gz",241699,239242,239242,239241,239241,0.989830326149467
"36","Per_EA_Rh_07_R2.fastq.gz",241699,239242,239242,239241,239241,0.989830326149467
"37","Per_EA_Rh_08_R1.fastq.gz",141317,139457,139457,139457,139457,0.986838101573059
"38","Per_EA_Rh_08_R2.fastq.gz",141317,139457,139457,139457,139457,0.986838101573059
"39","Per_EA_Rh_09_R1.fastq.gz",224790,221918,221918,221912,221912,0.98719693936563
"40","Per_EA_Rh_09_R2.fastq.gz",224790,221918,221918,221912,221912,0.98719693936563
"41","Per_EA_Rh_10_R1.fastq.gz",188664,187462,187462,187460,187460,0.993618284357376
"42","Per_EA_Rh_10_R2.fastq.gz",188664,187462,187462,187460,187460,0.993618284357376
"43","Per_EA_Ro_01_R1.fastq.gz",229930,228559,228559,228559,228559,0.99403731570478
"44","Per_EA_Ro_01_R2.fastq.gz",229930,228559,228559,228559,228559,0.99403731570478
"45","Per_EA_Ro_02_R1.fastq.gz",208171,204507,204507,204507,204507,0.982399085367318
"46","Per_EA_Ro_02_R2.fastq.gz",208171,204507,204507,204507,204507,0.982399085367318
"47","Per_EA_Ro_03_R1.fastq.gz",244202,240109,240109,240108,240108,0.98323519053898
"48","Per_EA_Ro_03_R2.fastq.gz",244202,240109,240109,240108,240108,0.98323519053898
"49","Per_EA_Ro_04_R1.fastq.gz",215663,213797,213797,213797,213797,0.991347611783199
"50","Per_EA_Ro_04_R2.fastq.gz",215663,213797,213797,213797,213797,0.991347611783199
"51","Per_EA_Ro_05_R1.fastq.gz",201954,200883,200883,200883,200883,0.99469681214534
"52","Per_EA_Ro_05_R2.fastq.gz",201954,200883,200883,200883,200883,0.99469681214534
"53","Per_EA_Ro_06_R1.fastq.gz",189089,185939,185939,185939,185939,0.983341177963816
"54","Per_EA_Ro_06_R2.fastq.gz",189089,185939,185939,185939,185939,0.983341177963816
"55","Per_EA_Ro_07_R1.fastq.gz",168880,167606,167606,167606,167606,0.992456181904311
"56","Per_EA_Ro_07_R2.fastq.gz",168880,167606,167606,167606,167606,0.992456181904311
"57","Per_EA_Ro_08_R1.fastq.gz",240588,238403,238403,238402,238402,0.990913927544183
"58","Per_EA_Ro_08_R2.fastq.gz",240588,238403,238403,238402,238402,0.990913927544183
"59","Per_EA_Ro_09_R1.fastq.gz",194813,193224,193224,193223,193223,0.991838327011031
