"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","padlinkerremoved_seqs","fractionOfRawDataInFinal_seqs"
"69","CY08_EA_Le_R1.fastq.gz",59097,57235,57235,57235,57235,0.968492478467604
"70","CY08_EA_Le_R2.fastq.gz",59097,57235,57235,57235,57235,0.968492478467604
"71","CY08_EA_Rh_R1.fastq.gz",63655,61393,61393,61393,61393,0.964464692482916
"72","CY08_EA_Rh_R2.fastq.gz",63655,61393,61393,61393,61393,0.964464692482916
"73","CY08_EA_Ro_R1.fastq.gz",58844,57691,57691,57691,57691,0.980405818775066
"74","CY08_EA_Ro_R2.fastq.gz",58844,57691,57691,57691,57691,0.980405818775066
"75","CY08_EA_So_R1.fastq.gz",34423,33656,33656,33501,33501,0.973215582604654
"76","CY08_EA_So_R2.fastq.gz",34423,33656,33656,33501,33501,0.973215582604654
"77","CY09_EA_Le_R1.fastq.gz",38190,37060,37060,37060,37060,0.970411102382823
"78","CY09_EA_Le_R2.fastq.gz",38190,37060,37060,37060,37060,0.970411102382823
"79","CY09_EA_Rh_R1.fastq.gz",54580,53685,53685,53685,53685,0.983602052033712
"80","CY09_EA_Rh_R2.fastq.gz",54580,53685,53685,53685,53685,0.983602052033712
"81","CY09_EA_Ro_R1.fastq.gz",62736,61205,61205,61204,61204,0.975580209130324
"82","CY09_EA_Ro_R2.fastq.gz",62736,61205,61205,61204,61204,0.975580209130324
"83","CY09_EA_So_R1.fastq.gz",57725,56827,56827,56827,56827,0.984443482026852
"84","CY09_EA_So_R2.fastq.gz",57725,56827,56827,56827,56827,0.984443482026852
"85","CY10_EA_Le_R1.fastq.gz",47806,46767,46767,46767,46767,0.978266326402544
"86","CY10_EA_Le_R2.fastq.gz",47806,46767,46767,46767,46767,0.978266326402544
"87","CY10_EA_Rh_R1.fastq.gz",60089,58128,58128,58128,58128,0.967365075138545
"88","CY10_EA_Rh_R2.fastq.gz",60089,58128,58128,58128,58128,0.967365075138545
"89","CY10_EA_Ro_R1.fastq.gz",64564,63413,63413,63413,63413,0.982172727835946
"90","CY10_EA_Ro_R2.fastq.gz",64564,63413,63413,63413,63413,0.982172727835946
"91","CY10_EA_So_R1.fastq.gz",84749,82100,82100,82098,82098,0.968719394919114
"92","CY10_EA_So_R2.fastq.gz",84749,82100,82100,82098,82098,0.968719394919114
"93","MShoal_EA_Le_01_R1.fastq.gz",60010,58415,58415,58415,58415,0.973421096483919
"94","MShoal_EA_Le_01_R2.fastq.gz",60010,58415,58415,58415,58415,0.973421096483919
"95","MShoal_EA_Le_02_R1.fastq.gz",71031,69454,69454,69454,69454,0.977798426039335
"96","MShoal_EA_Le_02_R2.fastq.gz",71031,69454,69454,69454,69454,0.977798426039335
"97","MShoal_EA_Le_03_R1.fastq.gz",63450,60995,60995,60995,60995,0.961308116627266
"98","MShoal_EA_Le_03_R2.fastq.gz",63450,60995,60995,60995,60995,0.961308116627266
"99","MShoal_EA_Le_04_R1.fastq.gz",72791,70976,70976,70976,70976,0.975065598769079
"100","MShoal_EA_Le_04_R2.fastq.gz",72791,70976,70976,70976,70976,0.975065598769079
"101","MShoal_EA_Le_05_R1.fastq.gz",54541,52346,52346,52346,52346,0.959755046662144
"102","MShoal_EA_Le_05_R2.fastq.gz",54541,52346,52346,52346,52346,0.959755046662144
"103","MShoal_EA_Le_06_R1.fastq.gz",54789,52580,52580,52580,52580,0.959681687930059
"104","MShoal_EA_Le_06_R2.fastq.gz",54789,52580,52580,52580,52580,0.959681687930059
"105","MShoal_EA_Le_07_R1.fastq.gz",66171,64076,64076,64076,64076,0.968339604962899
"106","MShoal_EA_Le_07_R2.fastq.gz",66171,64076,64076,64076,64076,0.968339604962899
"107","MShoal_EA_Le_08_R1.fastq.gz",57536,55261,55261,55261,55261,0.960459538375973
"108","MShoal_EA_Le_08_R2.fastq.gz",57536,55261,55261,55261,55261,0.960459538375973
"109","MShoal_EA_Le_09_R1.fastq.gz",61776,59262,59262,59262,59262,0.959304584304584
"110","MShoal_EA_Le_09_R2.fastq.gz",61776,59262,59262,59262,59262,0.959304584304584
"111","MShoal_EA_Le_10_R1.fastq.gz",60746,58355,58355,58355,58355,0.960639383663122
"112","MShoal_EA_Le_10_R2.fastq.gz",60746,58355,58355,58355,58355,0.960639383663122
"113","MShoal_EA_Rh_01_R1.fastq.gz",71928,70205,70205,70205,70205,0.976045489934379
"114","MShoal_EA_Rh_01_R2.fastq.gz",71928,70205,70205,70205,70205,0.976045489934379
"115","MShoal_EA_Rh_02_R1.fastq.gz",92429,89034,89034,89034,89034,0.963269103852687
"116","MShoal_EA_Rh_02_R2.fastq.gz",92429,89034,89034,89034,89034,0.963269103852687
"117","MShoal_EA_Rh_03_R1.fastq.gz",54710,53054,53054,53054,53054,0.969731310546518
"118","MShoal_EA_Rh_03_R2.fastq.gz",54710,53054,53054,53054,53054,0.969731310546518
"119","MShoal_EA_Rh_04_R1.fastq.gz",51857,50785,50785,50785,50785,0.979327766743159
"120","MShoal_EA_Rh_04_R2.fastq.gz",51857,50785,50785,50785,50785,0.979327766743159
"121","MShoal_EA_Rh_05_R1.fastq.gz",70301,68632,68632,68632,68632,0.976259228175986
"122","MShoal_EA_Rh_05_R2.fastq.gz",70301,68632,68632,68632,68632,0.976259228175986
"123","MShoal_EA_Rh_06_R1.fastq.gz",75660,72812,72812,72812,72812,0.962357916997092
"124","MShoal_EA_Rh_06_R2.fastq.gz",75660,72812,72812,72812,72812,0.962357916997092
"125","MShoal_EA_Rh_07_R1.fastq.gz",78652,75775,75775,75775,75775,0.963421146315415
"126","MShoal_EA_Rh_07_R2.fastq.gz",78652,75775,75775,75775,75775,0.963421146315415
"127","MShoal_EA_Rh_08_R1.fastq.gz",69146,67049,67049,67047,67047,0.969643941804298
"128","MShoal_EA_Rh_08_R2.fastq.gz",69146,67049,67049,67047,67047,0.969643941804298
"129","MShoal_EA_Rh_09_R1.fastq.gz",68810,67598,67598,67598,67598,0.982386281063799
"130","MShoal_EA_Rh_09_R2.fastq.gz",68810,67598,67598,67598,67598,0.982386281063799
"131","MShoal_EA_Rh_10_R1.fastq.gz",95191,91889,91889,91889,91889,0.965311846708197
"132","MShoal_EA_Rh_10_R2.fastq.gz",95191,91889,91889,91889,91889,0.965311846708197
"133","Mshoal_EA_Ro_01_R1.fastq.gz",65186,64040,64040,64040,64040,0.982419537937594
"134","Mshoal_EA_Ro_01_R2.fastq.gz",65186,64040,64040,64040,64040,0.982419537937594
"135","Mshoal_EA_Ro_02_R1.fastq.gz",65030,62960,62960,62960,62960,0.968168537598032
"136","Mshoal_EA_Ro_02_R2.fastq.gz",65030,62960,62960,62960,62960,0.968168537598032
"137","Mshoal_EA_Ro_03_R1.fastq.gz",65871,63684,63684,63684,63684,0.966798742997677
"138","Mshoal_EA_Ro_03_R2.fastq.gz",65871,63684,63684,63684,63684,0.966798742997677
"139","Mshoal_EA_Ro_04_R1.fastq.gz",78884,76329,76329,76329,76329,0.967610668830181
"140","Mshoal_EA_Ro_04_R2.fastq.gz",78884,76329,76329,76329,76329,0.967610668830181
"141","Mshoal_EA_Ro_05_R1.fastq.gz",75103,73354,73354,73354,73354,0.976711982211097
"142","Mshoal_EA_Ro_05_R2.fastq.gz",75103,73354,73354,73354,73354,0.976711982211097
"143","Mshoal_EA_Ro_06_R1.fastq.gz",63142,62079,62079,62079,62079,0.983164929840677
"144","Mshoal_EA_Ro_06_R2.fastq.gz",63142,62079,62079,62079,62079,0.983164929840677
"145","Mshoal_EA_Ro_07_R1.fastq.gz",87579,85647,85647,85647,85647,0.977939917103415
"146","Mshoal_EA_Ro_07_R2.fastq.gz",87579,85647,85647,85647,85647,0.977939917103415
"147","Mshoal_EA_Ro_08_R1.fastq.gz",98146,95755,95755,95755,95755,0.975638334725817
"148","Mshoal_EA_Ro_08_R2.fastq.gz",98146,95755,95755,95755,95755,0.975638334725817
"149","Mshoal_EA_Ro_09_R1.fastq.gz",79928,77722,77722,77722,77722,0.97240016014413
"150","Mshoal_EA_Ro_09_R2.fastq.gz",79928,77722,77722,77722,77722,0.97240016014413
"151","Mshoal_EA_Ro_10_R1.fastq.gz",85359,82093,82093,82093,82093,0.961738070970841
"152","Mshoal_EA_Ro_10_R2.fastq.gz",85359,82093,82093,82093,82093,0.961738070970841
"153","Mshoal_EA_So_01_R1.fastq.gz",75999,74060,74060,74060,74060,0.9744865064014
"154","Mshoal_EA_So_01_R2.fastq.gz",75999,74060,74060,74060,74060,0.9744865064014
"155","Mshoal_EA_So_02_R1.fastq.gz",89355,86790,86790,86789,86789,0.971283084326563
"156","Mshoal_EA_So_02_R2.fastq.gz",89355,86790,86790,86789,86789,0.971283084326563
"157","Mshoal_EA_So_03_R1.fastq.gz",72296,69795,69795,69795,69795,0.965406108221755
"158","Mshoal_EA_So_03_R2.fastq.gz",72296,69795,69795,69795,69795,0.965406108221755
"159","Mshoal_EA_So_04_R1.fastq.gz",86506,84588,84588,84588,84588,0.977828127528726
"160","Mshoal_EA_So_04_R2.fastq.gz",86506,84588,84588,84588,84588,0.977828127528726
"161","Mshoal_EA_So_05_R1.fastq.gz",127190,122784,122784,122784,122784,0.96535891186414
"162","Mshoal_EA_So_05_R2.fastq.gz",127190,122784,122784,122784,122784,0.96535891186414
"163","Mshoal_EA_So_06_R1.fastq.gz",69433,67113,67113,67113,67112,0.96657209108061
