"","input","filtered","denoisedF","denoisedR","merged","nonchim","filter.loss"
"PD_EA_Ro_05",79539,64731,63223,63071,58023,56875,0.186172820880323
"PD_EA_Ro_06",81959,67561,66232,65695,61034,59623,0.175673202454886
"PD_EA_Ro_07",106498,85393,83984,84264,79177,77011,0.198172735638228
"PD_EA_Ro_08",113239,90246,89211,89383,84430,81871,0.203048419714056
"PD_EA_Ro_09",128768,103399,97825,97901,85612,84067,0.197013233101392
"PD_EA_Ro_10",67385,54591,51719,51566,45739,44851,0.189864213103806
"PD_EA01_So",137258,108674,94175,94928,65279,65159,0.208250156639322
"PD_EA02_So",100348,79775,69132,69794,48357,47894,0.205016542432335
"PD_EA03_So",119309,89410,76599,76815,49297,49245,0.250601379610926
"PD_EA04_So",99911,78360,65992,66631,42784,42784,0.215701974757534
"PD_EA05_So",103233,80016,70979,71242,49792,49563,0.224899014849903
"PD_EA06_So",126832,100285,88026,88659,61812,61548,0.209308376434969
"PD_EA07_So",170413,134480,121616,122931,94551,93475,0.210858326536121
"PD_EA08_So",83145,62824,53298,53156,34856,34813,0.244404353839678
"PD_EA09_So",71090,57402,49175,49288,34077,33871,0.192544661696441
"PD_EA10_So",122041,91722,79896,80129,54846,54631,0.248432903696299
"Sem_EA_Le_01",63870,52211,52091,52104,48544,48177,0.18254266478785
"Sem_EA_Le_02",48881,40700,40388,40446,37913,37325,0.167365643092408
"Sem_EA_Le_03",73881,61509,61388,61404,57326,56880,0.1674584805295
"Sem_EA_Le_04",43709,35020,34884,34835,32434,32122,0.198792010798691
"Sem_EA_Le_05",56696,46542,46439,46497,43823,43504,0.179095527021307
"Sem_EA_Le_06",52649,43748,43604,43607,40622,40203,0.169063040133716
"Sem_EA_Le_07",52881,43836,43618,43611,40750,40433,0.171044420491292
"Sem_EA_Le_08",59132,47706,47591,47607,44521,44206,0.19322870865183
"Sem_EA_Le_09",56008,45269,45223,45216,42364,41980,0.191740465647765
"Sem_EA_Le_10",51466,43606,43488,43547,40700,40361,0.152722185520538
"Sem_EA_Rh_01",66139,54230,54066,54054,51050,50491,0.180060176295378
"Sem_EA_Rh_02",51496,41235,40744,40693,37912,37372,0.199258194811247
"Sem_EA_Rh_03",45945,37867,37626,37624,35278,34936,0.175818913918816
"Sem_EA_Rh_04",50348,40759,40552,40514,37417,37090,0.190454437117661
"Sem_EA_Rh_05",51704,42660,42482,42437,39715,39282,0.17491876837382
"Sem_EA_Rh_06",62285,47854,47494,47636,45015,44039,0.231693024002569
"Sem_EA_Rh_07",64338,51962,51706,51700,47911,47410,0.192359103484721
"Sem_EA_Rh_08",50790,40842,40757,40749,38394,38088,0.195865327820437
"Sem_EA_Rh_09",74701,60072,59934,59928,55282,54878,0.195834058446339
"Sem_EA_Rh_10",75431,59859,59366,59300,55143,54345,0.206440322944148
"Sem_EA_Ro_01",78315,63511,62518,62161,57785,57215,0.189031475451701
"Sem_EA_Ro_02",66537,51987,51278,51088,48021,47097,0.218675323504216
"Sem_EA_Ro_03",76075,60693,59981,60003,56440,55513,0.202195202103188
"Sem_EA_Ro_04",70680,57921,57481,57332,52954,52547,0.180517826825127
"Sem_EA_Ro_05",71833,58273,57479,57401,53089,52186,0.188771177592471
"Sem_EA_Ro_06",95976,76945,76390,76359,71278,69951,0.198289155622239
"Sent_EA_Le_01",45512,38326,38170,38125,35524,35265,0.157892423976094
"Sent_EA_Le_02",56316,47213,46896,46984,43674,42994,0.161641451807657
"Sent_EA_Le_03",52006,43619,43371,43396,40233,39847,0.161269853478445
"Sent_EA_Le_04",60828,49771,49537,49535,45962,45490,0.181774840533965
"Sent_EA_Le_05",49470,41916,41295,41332,37947,37474,0.152698605215282
"Sent_EA_Le_06",48758,40362,40143,40155,37298,37105,0.17219738299356
"Sent_EA_Le_07",69345,58308,58025,58061,53755,53381,0.159160718148389
"Sent_EA_Le_08",44897,37211,37026,37053,34382,34228,0.171191839098381
"Sent_EA_Le_09",50158,41119,40836,40834,37961,37697,0.180210534710315
"Sent_EA_Le_10",50041,41187,40879,40898,38367,38088,0.176934913371036
"Sent_EA_Rh_01",49282,40671,40476,40426,37662,37415,0.174729110019886
"Sent_EA_Rh_02",57430,45440,45050,45012,42182,41929,0.208775901096988
"Sent_EA_Rh_03",60116,49435,48902,48796,45187,44935,0.17767316521392
"Sent_EA_Rh_04",67863,53983,53707,53602,50559,50272,0.204529714277294
"Sent_EA_Rh_05",60875,49855,49694,49686,46650,46398,0.181026694045175
"Sent_EA_Rh_06",41773,33937,33865,33799,31761,31495,0.187585282359419
"Sent_EA_Rh_07",53288,43144,42885,42927,40451,40083,0.190361807536406
"Sent_EA_Rh_08",54401,43889,43531,43404,39829,39581,0.193231742063565
"Sent_EA_Rh_09",80520,65909,65754,65806,60528,60180,0.181458022851465
"Sent_EA_Rh_10",76255,62131,62064,62016,57234,56998,0.185220641269425
"Sent_EA_Ro_01",70234,55569,55283,55313,52394,52001,0.208802004727055
"Sent_EA_Ro_02",66956,52346,51149,51199,47709,46965,0.218202998984408
"Sent_EA_Ro_03",43921,35142,34686,34610,32118,31949,0.199881605610073
"Sent_EA_Ro_04",63221,49377,48977,48842,45888,45521,0.218977871276949
"Sent_EA_Ro_05",53793,42619,41958,41874,39635,38944,0.207722194337553
"Sent_EA_Ro_06",53281,43995,43449,42870,41364,41146,0.17428351569978
"Sent_EA_Ro_07",68181,55615,54282,54253,51096,50379,0.184303544975873
"Sent_EA_Ro_08",61245,49858,48520,48105,44276,44043,0.185925381663809
"Sent_EA_Ro_09",46554,35815,34725,34284,32625,32459,0.230678352021309
"Sent_EA_Ro_10",56546,44763,44197,44099,41790,41375,0.208379018851908
"Sent_EA_So_01",60094,46087,38484,38352,26911,26911,0.233084833760442
"Sent_EA_So_02",76799,58408,50397,50524,35860,35860,0.239469263922707
"Sent_EA_So_03",92310,69372,60222,60217,43080,42976,0.248488787780306
"Sent_EA_So_04",61082,49719,41610,41777,29552,29530,0.18602861726859
"Sent_EA_So_05",84541,65220,55456,55757,37842,37842,0.228539998343999
"Sent_EA_So_06",81566,62938,53487,53804,36377,36363,0.228379471838756
"Sent_EA_So_07",75916,57739,48928,48978,34039,34039,0.239435692080721
"Sent_EA_So_08",84384,65420,56237,56451,41008,41008,0.224734546833523
"Sent_EA_So_09",79891,61017,51092,51415,34596,34552,0.236246886382696
"Sent_EA_So_10",71006,52836,44591,44056,28771,28771,0.255893868123821
